################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9986024965440277E+00 a       359     0    18     1    19
  3.7013121862437415E-01 a       360     0    18     1    20
 -2.1676528060627627E+00 a       361     0    19     1     1
  2.1548169297397354E+01 a       362     0    19     1     2
  2.7705442602028905E+00 a       363     0    19     1     3
 -1.9760527784015605E+00 a       364     0    19     1     4
  1.1768370989506307E+01 a       365     0    19     1     5
  9.1320051058322917E+00 a       366     0    19     1     6
 -1.0523967350338136E+01 a       367     0    19     1     7
 -3.8950119582537153E+00 a       368     0    19     1     8
  4.9067011849375408E+00 a       369     0    19     1     9
  2.5660225273975468E+00 a       370     0    19     1    10
 -1.2692377790949648E+01 a       371     0    19     1    11
  5.2290676871076744E+00 a       372     0    19     1    12
  5.6316212457970205E-01 a       373     0    19     1    13
  4.0131584184697608E+00 a       374     0    19     1    14
  8.0215431731896700E+00 a       375     0    19     1    15
 -1.8241592081827644E+00 a       376     0    19     1    16
 -5.3284685831207819E+00 a       377     0    19     1    17
  8.6731769583428910E+00 a       378     0    19     1    18
  7.8555532965964474E+00 a       379     0    19     1    19
  9.5515449167618360E+00 a       380     0    19     1    20
  3.5798562613950674E-02 a       381     0    20     1     1
 -9.5878876514031575E+00 a       382     0    20     1     2
  1.7526304317602865E+00 a       383     0    20     1     3
 -4.6246874470563561E-02 a       384     0    20     1     4
 -2.3179238639528088E+00 a       385     0    20     1     5
  5.2613140247996393E-01 a       386     0    20     1     6
  5.6015858978084365E+00 a       387     0    20     1     7
  4.4797193045513177E+00 a       388     0    20     1     8
 -1.8547108209393437E+00 a       389     0    20     1     9
  1.6956420434348369E+00 a       390     0    20     1    10
 -1.3559790555302390E-01 a       391     0    20     1    11
  1.9739636485981096E-01 a       392     0    20     1    12
 -2.3951344897588243E+00 a       393     0    20     1    13
  3.2727559371860608E+00 a       394     0    20     1    14
 -3.8881304619134118E+00 a       395     0    20     1    15
  1.0665229809503414E+01 a       396     0    20     1    16
 -3.7358147417418883E+00 a       397     0    20     1    17
  2.9758510381463266E+00 a       398     0    20     1    18
 -1.1543584873910593E+00 a       399     0    20     1    19
 -1.4847641906410010E+00 a       400     0    20     1    20
 -2.2507348298156797E+00 a       401     0    21     1     1
 -1.2494109212502241E+01 a       402     0    21     1     2
 -6.2257047594244797E-01 a       403     0    21     1     3
 -2.9050852231912178E-01 a       404     0    21     1     4
 -2.9225384120169755E+00 a       405     0    21     1     5
 -3.0415110107859211E-01 a       406     0    21     1     6
  5.2317561075172669E+00 a       407     0    21     1     7
  5.3847818605513762E+00 a       408     0    21     1     8
  1.9606874774398699E+00 a       409     0    21     1     9
 -2.5145416524988993E+00 a       410     0    21     1    10
  3.0631389142431518E+00 a       411     0    21     1    11
 -8.7160386202525286E-01 a       412     0    21     1    12
 -1.0506516995743793E+00 a       413     0    21     1    13
  1.3385185421100587E+00 a       414     0    21     1    14
 -3.4012270732044789E+00 a       415     0    21     1    15
 -2.6525611154296072E+00 a       416     0    21     1    16
  2.6189075623197446E+00 a       417     0    21     1    17
 -4.3031268391881881E+00 a       418     0    21     1    18
 -9.8953944716077640E+00 a       419     0    21     1    19
  1.0282112951475755E+00 a       420     0    21     1    20
 -1.2365874083497490E+00 a       421     0    22     1     1
 -9.3531035279082253E-01 a       422     0    22     1     2
 -1.8920293946459348E+00 a       423     0    22     1     3
  1.4769540382361448E+00 a       424     0    22     1     4
 -1.3377446331645275E+00 a       425     0    22     1     5
 -1.5571648119804282E+00 a       426     0    22     1     6
 -1.5750030900684338E+00 a       427     0    22     1     7
 -7.0812167712283747E-01 a       428     0    22     1     8
 -2.4153322480954109E-01 a       429     0    22     1     9
  2.7338339836850700E+00 a       430     0    22     1    10
  5.4268616194836479E-02 a       431     0    22     1    11
  4.7482625557169511E-01 a       432     0    22     1    12
 -8.5331648509537739E-01 a       433     0    22     1    13
  3.6214780615480507E-01 a       434     0    22     1    14
  1.1006068919500454E+00 a       435     0    22     1    15
 -1.2304484851212720E+00 a       436     0    22     1    16
 -7.1323830327595683E-01 a       437     0    22     1    17
  7.8361611585182922E-01 a       438     0    22     1    18
  9.2652199906969115E-02 a       439     0    22     1    19
  3.4376934722441188E-01 a       440     0    22     1    20
 -7.9564666000492480E+01 a       441     0    23     1     1
 -4.1132208922507687E+01 a       442     0    23     1     2
  4.4169999433275599E+01 a       443     0    23     1     3
 -6.3364992440194435E+01 a       444     0    23     1     4
 -2.6890235519401628E+01 a       445     0    23     1     5
