################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.0849493444683658E-01 a       440     0    22     1    20
  1.1768066735866309E+01 a       441     0    23     1     1
 -2.2041404607399787E+01 a       442     0    23     1     2
 -1.5901410953103581E+02 a       443     0    23     1     3
  9.6046713348591553E+01 a       444     0    23     1     4
 -6.5723687872150052E+01 a       445     0    23     1     5
 -1.5714492777650827E+02 a       446     0    23     1     6
  1.0765434285312323E+02 a       447     0    23     1     7
 -6.7836999231060446E+01 a       448     0    23     1     8
  6.8389697584893682E+01 a       449     0    23     1     9
 -4.9007984407454863E+01 a       450     0    23     1    10
 -3.0185371669068410E+01 a       451     0    23     1    11
 -5.4114968200270688E+01 a       452     0    23     1    12
  2.2490859868092068E+02 a       453     0    23     1    13
 -3.0719741734762842E+01 a       454     0    23     1    14
 -3.6428867720977792E+01 a       455     0    23     1    15
 -1.3144145435630779E+02 a       456     0    23     1    16
  8.4649893617295618E+01 a       457     0    23     1    17
 -5.3754966942755040E+01 a       458     0    23     1    18
 -1.6774903413681108E+02 a       459     0    23     1    19
  1.9060724492631226E+02 a       460     0    23     1    20
  2.8713660767182276E+01 a       461     0    24     1     1
 -7.6291082077120533E+00 a       462     0    24     1     2
  1.3886253869271579E+01 a       463     0    24     1     3
  1.7188996743292225E+01 a       464     0    24     1     4
  1.2935859319537181E+01 a       465     0    24     1     5
 -7.1891049051788556E+01 a       466     0    24     1     6
 -3.4753414071916168E+01 a       467     0    24     1     7
  7.2874179965710981E+00 a       468     0    24     1     8
  3.6148758031361467E+01 a       469     0    24     1     9
 -2.1022998114047510E+01 a       470     0    24     1    10
  1.3198984146361422E+01 a       471     0    24     1    11
  2.0726486791348741E+01 a       472     0    24     1    12
 -2.6735723495356589E-01 a       473     0    24     1    13
 -2.0954194878772977E+01 a       474     0    24     1    14
  6.1953221695071550E+00 a       475     0    24     1    15
 -7.8837272515177643E+00 a       476     0    24     1    16
  2.2286722302883376E+01 a       477     0    24     1    17
 -1.0146191865816482E+01 a       478     0    24     1    18
 -2.2651775569192335E+01 a       479     0    24     1    19
 -1.3685121575140354E+01 a       480     0    24     1    20
  2.1209763674160136E+01 a       481     0    25     1     1
  2.5402411116134466E+01 a       482     0    25     1     2
 -3.3988424170849200E+01 a       483     0    25     1     3
 -2.3449283688756513E+01 a       484     0    25     1     4
 -3.6340127174813244E+00 a       485     0    25     1     5
 -4.8337927310850034E+01 a       486     0    25     1     6
  4.1683435702829659E+00 a       487     0    25     1     7
  4.2845436472310652E+01 a       488     0    25     1     8
  5.6451013366396730E+01 a       489     0    25     1     9
  3.8988215367362379E+01 a       490     0    25     1    10
 -1.9797655784123251E+01 a       491     0    25     1    11
  1.2832332206180487E+02 a       492     0    25     1    12
  6.7186446618678000E+00 a       493     0    25     1    13
 -3.6305776228275324E+00 a       494     0    25     1    14
  1.0307424173001984E+01 a       495     0    25     1    15
 -2.5962507048140254E-01 a       496     0    25     1    16
  4.0382278236220728E+01 a       497     0    25     1    17
 -6.6463637147237463E+01 a       498     0    25     1    18
 -5.0299853155348160E+01 a       499     0    25     1    19
 -1.2643221637347381E+01 a       500     0    25     1    20
  2.3057417131819033E+01 a       501     0    26     1     1
  6.2064375927481613E+01 a       502     0    26     1     2
  8.0118934314865683E+01 a       503     0    26     1     3
