################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.2505165601439732E-03 a       414     0    21     1    14
  3.6453999376264701E-01 a       415     0    21     1    15
 -1.7164263544711322E-01 a       416     0    21     1    16
  3.5458563912133291E-02 a       417     0    21     1    17
 -7.8029185959317604E-01 a       418     0    21     1    18
 -5.3784882450809128E+00 a       419     0    21     1    19
 -2.7339760630252354E+00 a       420     0    21     1    20
 -3.0175520265145326E+00 a       421     0    22     1     1
 -2.1644156642685375E+00 a       422     0    22     1     2
 -8.7061116258167393E-01 a       423     0    22     1     3
 -5.3380025112645169E-01 a       424     0    22     1     4
 -2.7712708662902469E-01 a       425     0    22     1     5
  5.8395582109752442E-01 a       426     0    22     1     6
 -1.3379791281332336E+00 a       427     0    22     1     7
 -2.7296128820901564E+00 a       428     0    22     1     8
 -8.6657084215323721E-01 a       429     0    22     1     9
 -2.0449339422886781E+00 a       430     0    22     1    10
  4.5275118203493947E-01 a       431     0    22     1    11
 -2.6227552358063813E+00 a       432     0    22     1    12
  1.3336835845608899E+00 a       433     0    22     1    13
  3.9020787041453807E-02 a       434     0    22     1    14
  2.8898871508243107E-01 a       435     0    22     1    15
 -1.2014271347068726E+00 a       436     0    22     1    16
 -1.0356779457006635E+00 a       437     0    22     1    17
 -2.5883892065251630E+00 a       438     0    22     1    18
 -2.1789762214468714E-01 a       439     0    22     1    19
  2.2058458875976323E+00 a       440     0    22     1    20
  1.3867897800944500E+00 a       441     0    23     1     1
 -1.0215514899185909E+00 a       442     0    23     1     2
 -1.3927006621791869E+00 a       443     0    23     1     3
  1.0933474280642517E+00 a       444     0    23     1     4
 -4.1442556433760416E+00 a       445     0    23     1     5
  6.8458964903110999E+00 a       446     0    23     1     6
 -5.9307561484505316E+00 a       447     0    23     1     7
 -7.7382752909368522E+00 a       448     0    23     1     8
  8.9886538579993829E+00 a       449     0    23     1     9
  1.4302887934610173E+00 a       450     0    23     1    10
 -1.5121282807180607E+00 a       451     0    23     1    11
  7.4391245447015457E+00 a       452     0    23     1    12
  5.6019031602878577E+00 a       453     0    23     1    13
  6.0649106569982116E+00 a       454     0    23     1    14
 -5.9062006545627375E+00 a       455     0    23     1    15
  3.0795311127258391E+00 a       456     0    23     1    16
  5.7416470700577915E-01 a       457     0    23     1    17
 -1.9399110493464253E+00 a       458     0    23     1    18
 -5.2418724982110474E+00 a       459     0    23     1    19
  4.4259974089347534E+00 a       460     0    23     1    20
  2.4052661798306598E+00 a       461     0    24     1     1
 -1.1966953402622544E+00 a       462     0    24     1     2
 -5.7225371461150498E+00 a       463     0    24     1     3
  1.7254760023845231E-01 a       464     0    24     1     4
  2.0714508552533886E+00 a       465     0    24     1     5
  5.6205496981767822E-01 a       466     0    24     1     6
 -6.5231237191774287E+00 a       467     0    24     1     7
  4.8268276188736063E+00 a       468     0    24     1     8
  2.4510144996793404E+00 a       469     0    24     1     9
  9.2675202848268086E+00 a       470     0    24     1    10
  2.0006173090332258E+00 a       471     0    24     1    11
  2.7158038199822734E+00 a       472     0    24     1    12
  1.7652502623096404E+00 a       473     0    24     1    13
 -1.0685676951933010E+01 a       474     0    24     1    14
  1.2894677482423017E+01 a       475     0    24     1    15
 -2.0596557140822300E+00 a       476     0    24     1    16
 -2.2440721107613295E+00 a       477     0    24     1    17
  4.5703394332183187E+00 a       478     0    24     1    18
  6.7489389106655073E+00 a       479     0    24     1    19
  4.7195261485463003E-01 a       480     0    24     1    20
  9.7331271282558056E+00 a       481     0    25     1     1
  1.8840918942705669E+00 a       482     0    25     1     2
 -9.6484680076444658E+00 a       483     0    25     1     3
  3.3034947755474660E+00 a       484     0    25     1     4
 -4.4078758762662851E+00 a       485     0    25     1     5
  3.2750485171717933E+00 a       486     0    25     1     6
 -2.8172171316980745E+00 a       487     0    25     1     7
  1.2316526136626205E+00 a       488     0    25     1     8
  1.5936986899525163E+00 a       489     0    25     1     9
 -4.0530053355487121E+00 a       490     0    25     1    10
  2.9275035509702705E+00 a       491     0    25     1    11
 -6.4635850289259071E+00 a       492     0    25     1    12
  4.8814626129074963E+00 a       493     0    25     1    13
 -2.2247155081207768E+00 a       494     0    25     1    14
  3.6445470095761641E+00 a       495     0    25     1    15
 -2.8960898154996038E+00 a       496     0    25     1    16
  1.1730921451994987E+00 a       497     0    25     1    17
  1.0048735328203646E+00 a       498     0    25     1    18
  3.8844646564536549E+00 a       499     0    25     1    19
 -9.5215570934630026E-02 a       500     0    25     1    20
 -8.1109355831702601E-01 a       501     0    26     1     1
 -2.1926665053405276E+00 a       502     0    26     1     2
